	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	SY3_FDME210455399-2a	WZ7_FDME210455463-1r	WZ15_FDME210455471-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
Chlorella sorokiniana	0	15.87244144	7.569951368	5.852760243	11.38279806	10.5045857	3.995940337	12.93162573	18.03038171	33.8337341	28.75888701	14.62631828	18.45343482	0	0	0	9.268579251	25.28360681	10.8684959	10.39164767	6.813208639	5.560007497	6.777043947	14.42851592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.586151019	0	0	0	0	0	0	0	0	7.7063222	3.637384265	0	0	0	0	0	14.20682372	0	0	0	0	10.98185925	0	0	0	0	0	11.88726206	0	0	0	5.110262931	10.11271588	0	0	8.164638232	0	0	0	3.94891913	0	4.610225094	3.546676139	4.788658394	6.689698527	0	0	0	3.131582231	0	3.888480545	0	0	3.212939704	0	0	0	0	3.361171163	0	0	0	0	0	0	3.600190482	0	0	0	0	0
Hafniomonas laevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.856297877	23.6283543	21.11532742	22.35990222	14.52692642	10.11068223	22.0499069	11.6537711	12.38477683	12.9275202	6.631448101	25.51952106	40.00679286	18.3926117	15.73249911	20.78328455	7.248932627	7.827352786	14.70624292	19.76872144	12.99170386	16.40506736	11.11098465	8.760693274	0	0	0	0	0	0	0	0	5.548571719	0	0	4.537476516	11.85893838	5.068220082	0	8.628101986	22.17242074	10.27953655	0	0	0	0	0	0	0	0	7.096028696	0	5.679438996	13.39272635	16.83793579	17.24258451	0	0	4.085831132	4.690610784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.999890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium oxysporum	0	0	0	0	0	0	0	0	4.058844392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.371043856	0	0	0	0	0	0	0	0	2.816275102	0	0	0	0	0	0	2.147503112	0	0	0	0	2.293612345	0	3.617490732	0	0	0	0	3.572959878	3.411678998	2.618107485	0	2.161679774	3.21285306	5.524507586	0	0	0	4.365538489	4.242050161	0	0	0	0	2.725518934	0	0	0	0	0	3.54466765	3.813798949	2.051431189	0	2.768435374	0	2.393958968	0	0	0	0	0	0	3.515310177	4.150925217	0	0	2.233524998	0	0	2.292105115	2.452320644	3.764530948	3.668554826	3.031283066	0	0	4.643050575	0	3.278287309	4.497609821	0	0	2.328239301	0	0	5.516128983	3.183672446	5.574386659	3.774811722	3.249092329	0	3.199941946	0	0	0	1.922657816	0	0	2.101840096	0	0	0
Scenedesmus quadricauda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.967582623	7.883037734	0	0	0	0	6.982059507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21069007	9.163695009	0	0	0	6.725623414	0	0	11.91907111	12.11770495	6.704587529	6.771988417	29.11608162	35.46637342	15.03634659	7.18296241	6.093360538	0	7.382132561	13.98691714	15.80397393	0	18.24415279	0	0	0	0	0	0	0	0	17.15282102	6.687866107	0	9.768649952	0	0	0	0	0	0	0	0	0	6.38091116	0	0	0	0	0	5.545278441	0	0	6.115364199	5.680837432	7.175494631	0	4.58777578	12.69854601	0	6.170966792	6.491812682	0	7.210851625	6.95573093	0	5.414014054	9.936194163	0	0	0	5.702617612	0	7.353801849	4.86628939	0	6.660868157	0	0	0	0	0	7.024651084	0
Phaeocystis antarctica	0	0	0	0	0	0	0	0	1.289326104	2.262132272	0	2.382574112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.090522398	0	0	0	2.084211673	0	0	1.092784338	0	2.017944096	0	0	0	0	0	0	3.668439356	0	0	0	0	0	0	2.315419306	0	0	0	1.496840299	1.192778889	0	0	0	0	0	4.952163625	0	0	0	2.795127854	2.756133043	0	0	1.601916715	1.443947904	3.822003839	0	6.239964654	5.197720944	7.065985743	5.027022106	0	7.041618428	9.861511655	3.019373327	6.295049641	3.905059758	0	1.062975178	5.134088866	1.132236508	5.270500867	3.878035824	2.185035995	12.84191422	4.88388916	3.559650221	0	0.73771508	3.079409218	0	0	0.766365409	0	0	0	2.516839463	2.615860441	0
Aaosphaeria arxii	0	7.49862808	0	0	0	0	0	9.053946411	8.259018773	6.295515268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.939182504	6.646529369	14.75690905	6.708923027	7.082596819	0	4.213183762	0	6.689424589	6.82052237	0	0	6.686029756	0	0	0	9.069564027	8.636323572	8.356045505	6.417297493	0	0	0	0	0	10.8479456	0	4.209369974	0	5.741411437	11.75600851	0	0	0	0	8.441790857	0	10.70175507	8.882026215	6.363647479	9.178421257	9.64083306	0	0	8.544688896	11.84581132	8.839861119	9.425237515	0	0	9.038463376	6.580166238	5.821501806	0	6.787100981	0	0	5.709296074	6.569284566	0	0	0	0	0	0	8.068204096	0	0	0	0	0	0	0	4.926610612	14.29522057	6.753083779	0	0	0	0
Anaeromyces robustus	0	0	0	0	1.825547042	0	0	0	0	0	0	0	0	0	0	0	3.447633929	2.505777761	0	5.167547144	2.907051088	2.511379369	1.482029933	0	1.283395415	2.606574387	2.063410902	1.688867487	1.895084031	2.38547411	2.361216306	1.94611295	1.537220452	0	1.446357995	0	2.40910448	1.855702934	2.585517355	1.894967883	0	0	1.722821216	1.559506911	1.845844577	0	1.773574099	1.376644873	0	0	1.249386746	0	0	0	0	0	1.029411375	0	0	0	1.519243624	0	1.909606518	1.889613006	0	1.679986585	1.535623529	1.704232859	0	0	0	0	0	0	1.58567476	0	0	0	0	0	0	0	1.189162763	1.683767783	0	0	0	0	0	0	0	0	0	0	0	1.99355432	0	0	0	0	0	0	0	0	1.24443499	0	0	0	0	0	0	0	0	0	0	0	2.200559037	0	0	0	0	0	0	0	0	0	0	2.299729454	0	0
Alternaria tenuissima	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.492346654	0	7.350652222	11.53705156	5.463874459	8.908516367	6.502452329	0	0	0	7.640972494	9.106113687	5.650679787	0	0	0	0	5.245766621	5.656377584	0	6.386941699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.711088898	0	0	0	7.98249513	7.469102976	0	0	0	0	0	0	0	0	0	0	7.466320845	0	8.205315884	6.067583114	0	0	5.301727743	4.928789466	0	0	8.423582691	0	4.625757003	0	9.164219845	6.211291782	5.078107336	0	0	0	7.17519174	0	8.301648996	5.195748861	6.308951155	4.544650289	0	0	0	4.809118363	8.785626988	0	0	0	5.414589736	11.6403445	0	8.189579572	0	9.68170035	5.013523671	4.797234565	0	6.237301653	0	0	4.820079874	0	0	0	0	4.689517551	5.908863634	0
Haptolina brevifila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.026261636	0	0	1.571522658	2.259097978	1.785823361	2.007879562	1.33401741	1.963200984	0.858912512	0	0	0.656672851	1.308183594	0.731254049	1.458177764	1.319429244	0	0	1.239843811	1.139125814	0	0	0	0.869799141	0	0	0.981108643	0.720216823	0	0	0	0.821959407	0	0	0	0	0.984327726	0	0	0	0	0	0	0	0	0	0	0	0.697688873	0	0	0	0	0	0	0	0	0	0	0	0	0	0.823650091	0	0	0	0.719458655	0	0	0	0	0	0	0	0	0.884397369	0	0	0	0.848688057	0.91327102	0.889892734	0.995838748	0.887121775	0	0.863282983	0	1.121976012	0.919916116	0	0	1.046245841	0.726736643	0.747625546	0	0	0	1.097288195	0	0	0	0	0.8100563	0	0.882473451	0	0	0	0	1.406131461	0	0.944351874	0.500912265	0.584338393
Fusarium vanettenii	0	0	0	0	0	0	0	0	2.580300201	1.936978692	1.846043427	0	0	0	1.891723721	1.248805466	0	0	0	0	0	0	0	0	0	0	0	1.919755046	0	0	0	0	0	4.036064588	0	0	0	0	3.107368046	3.679949017	3.427653614	3.033391094	3.029632345	0	0	0	0	0	0	0	0	0	0	3.994820853	0	0	2.071552097	0	0	0	3.676680788	0	0	0	0	0	3.396128045	0	0	0	0	2.287646027	2.49072783	0	0	0	3.510738117	0	0	0	0	0	0	0	0	0	0	3.442826981	0	0	1.930806637	0	0	3.656775233	0	3.866216821	0	0	0	4.579092983	2.721420718	4.454393408	3.863845855	0	0	0	3.364652306	4.10266065	2.080437816	4.110098839	5.075617867	2.252642111	4.39632199	2.524338717	0	0	3.893478894	2.414350023	3.289546496	2.537583758	4.693797846	0	0	0	0	3.424552373	0	2.809853213	0	2.519225686
Fragilariopsis cylindrus	0	0	0	0.235685634	0.205620725	0.214525376	0	0	0	0	0	0.394323027	0.545676111	10.37068029	0	0	0.158372119	0	0	0.20930293	0	0.223135361	0.257686061	0.207911595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207020783	0	0	0	0	0	0	0.493389205	0.616825492	0	0	0	0	2.682063727	1.499003851	1.826045114	0.181601484	0	0	1.424719915	0	0.189647378	0.277511434	0.210144737	0.562780728	1.583206119	0.556210876	0	0	0	0.186639136	0.34374453	0	0	0	0	0	0	0.162123424	0.194932493	0.143427716	0	0	0.269928647	0	0	0	0.145433103	0	0	0.215079206	0.296960641	0.178873502	0	0	0.232993792	0.472052817	0.196266446	0	0.15497893	0.161262308	0	0	0.212791859	0	0	0	0.177325729	0.171947125	0	0	0	0	0	0	0	0.196460535	0	0	0	0	0
Amphiprora paludosa	0	0	0	0	0	0	0	0	0	0	0	0	0	4.255359333	0	0	0	0	0	0	0	0	0	0	0	0	0.263804578	0	0	0.407466046	0	0	0	0	0.559847917	0	0	0	0	0	0.499963802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707407705	0	0	0	0.730348829	0	0	0	0	0	0	0	0	0	0	0	0.358649627	0	0.507580742	0	0	0	0	0	0	0	0	1.833308485	1.207757262	0.835249347	0.550217408	1.016278791	1.8355148	1.8411517	0	1.305030509	2.010607143	1.317458284	1.535219399	1.001958049	0.457584859	1.293638595	1.577904997	0	0.399247222	0.958900693	1.328975193	1.712607057	0.919306712	0.534147781	0.550062395	1.799467629	0.415346934	0	0.568414931	0.474788708	1.41489326	0.671630505	0	0.472985638	0.36577678	0	0	0.887563904	1.834524109	2.038558324	0	0.967134181	0	1.499016437
Proboscia inermis	0	0	0	0	0	0	0	0	0	0	0	0	0.612418287	3.401495167	0	0.777576764	0	0	0	0	0	0	0	0	0.807012303	0.488645515	0.904339143	0	0.861265518	1.295007028	0.730762241	0.885452461	0.62430396	0.999395498	0.551386832	1.227331367	1.513031655	1.281633968	0	0.894793131	0	0	0.988651636	0.926211598	0.65488625	1.033632182	0.614014024	0.876362758	0	0	0	0	1.339282017	0	0	0	0	0	0	0	0	0	0	0	0	0.561164645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.448469579	1.344044476	0.726744478	1.665436613	1.87598136	2.211171407	0.72494047	0.3943692	1.209088264	1.468566665	2.156349103	0	1.141213689	1.982093686	1.623162001	0	0	0	0	1.275242253	0	0	1.504911312	1.147719126	0	0	0	0	0	0	1.343233249	0	0	0	1.827667404	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicosporidium sp. ATCC 50920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.600099235	7.565268083	5.191501962	13.78404786	35.15131918	13.67708403	5.005548931	13.71365599	0	0	8.828867646	26.94071419	16.03152067	5.583245202	0	7.744496459	7.672199256	4.439658658	4.961379286	7.755014028	0	10.33594502	8.834427513	0	0	0	5.962158646	0	0	0	0	0	0	12.16224802	0	0	0	0	12.5348151	0	0	0	4.926825606	5.415100773	7.969275933	0	0	0	7.400305068	8.190469003	0	8.617074401	11.82485638	8.908133062	13.94125068	8.224944772	4.91908177	10.82827752	0	7.862372179	5.025043643	0	7.154684954	5.54385695	6.160516951	0	0	5.079251985	8.256088519	0	4.956964774	0	0	3.870302146	0	0	0	6.266302224	0	0	0	0	0
Trichodelitschia bisporula	0	0	0	0	0	0	0	0	0	6.535044596	5.552891773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.654787916	0	0	0	0	0	0	0	0	0	0	0	5.484428675	6.014662739	8.044145833	0	7.570494484	0	0	0	0	0	6.244702355	8.811954881	13.4562677	8.913151106	10.61646346	19.07798691	7.382813551	5.707874941	5.247080993	12.57207468	13.41352528	12.35794397	13.89564151	7.185109848	20.93827712	10.62627272	10.54974176	0	10.12915281	9.245806246	15.22997036	9.479341447	8.746527359	12.62152624	14.73825915	7.496288618	7.06733039	12.56666363	12.84587913	17.13955804	9.193942554	11.60431675	0	6.818472649	8.262380671	0	5.130447673	0	13.72665721	7.310736198	0	6.287148615	5.768006157	0
Alexandrium monilatum	0	1.036032633	1.67638688	0	1.000738719	0	0.997105131	0	1.022250647	1.978804431	1.32328404	1.050132531	1.01541905	0	1.815448632	2.734077631	0	0	0	0	1.287465199	0	1.034324445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807212868	0	0	0	0	0	0	0.671693849	1.271614617	0	1.292231362	0.906297816	0	1.123308063	0.515377394	0	0	0	0.709896638	1.837275803	1.970187357	0	0.796990956	0.766501023	0	1.078402369	0	0.78267187	0.942863555	0.936706889	0.994167395	0	1.832120428	1.655545989	0	0	0	2.301617812	0	0	0	0	0	0.768803272	0	0	0	0	0.678245584	0	0	0	1.110241005	0.820605109	0	0.909970422	0	0	0	0	0	1.699039255	0	0	0	0	0.660156405	0.772493913	0	0	1.158964826	0	0	0	0	0	0	0	1.123727328	0	0	0	0	0	0	1.243606469	0.918972485	0
Zygosaccharomyces bailii	0	0	0	0	0	0	0	0	5.546450985	14.70615065	6.938154309	7.974146495	6.635308587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.557969712	0	5.831366635	9.157485243	0	7.6812638	0	9.493231078	0	0	0	0	5.232358656	6.14992255	4.509001056	0	4.990713529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.290477736	0	0	0	0	0	0	0	0	0	0	5.663243031	0	0	0	11.93864085	0	8.126950737	0	0	0	0	6.437568109	7.461872917	4.994534282	0	6.640041372	0	0	0	6.294200692	0	18.51482608	6.621432359	6.554043294	6.525925602	5.05048536	7.231457731	4.231104613	6.666958155	6.238681086	17.74913818	5.609802525	6.173154018	0	9.132594203	6.15085412	0	4.744616179	6.075806837	10.9828954	4.340914093	5.710215737	8.912760416	11.01111206	6.536365165	0	4.718306855	0
Rhodosorus marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.823692629	2.851461835	3.118248511	2.273110437	2.458143022	3.517550823	3.342041728	3.218318884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.904728772	0.718289528	0	0.858734254	6.576007628	0.822240575	0	0	0	0.879949788	0.773929629	1.542047039	3.02938444	3.491961302	2.088309949	0	0	9.713577131	3.718921376	4.01418925	2.233933673	0	3.071171582	2.381764597	0	0	0	1.742502603	0.683560939	0	0	0	0	0	0.953700498	1.270631705	0.803787332	1.036204841	0	0	1.064462721	1.049733475	0	1.596925447	0	0.803737451	0	0	0.809565822	1.71613268	0	0	0	0	1.388382265	0	0.75998322	1.103995427	0.678679765	0.847713237	0.508202316	0	0	0	0	0	0	0	0.549084276	0	0	0	0	0	0	1.144087181	0	0.586027332
Clavispora lusitaniae	0	7.792138784	0	0	0	0	0	0	21.56028296	17.13086711	21.23139772	10.37157512	13.15430292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.151081852	0	0	0	0	0	0	0	0	0	0	5.020038323	0	8.145306879	0	0	0	0	10.93964792	0	0	0	0	0	0	31.97160073	0	6.962082664	0	0	21.94774184	0	0	0	0	23.55131929	42.3164709	8.034822236	15.15790035	14.09385763	18.53573539	17.2389022	15.52612038	0	56.39787834	11.25302349	15.74424762	16.31617019	11.24658439	0	17.76215216	0	12.69754156	51.00427367	19.15696471	10.35036524	13.82995473	0	11.45171425	0	10.35604278	9.069859354	26.80286668	13.71398418	0	10.47772727	8.771417744	17.98597717	0	7.100992333	6.091401572	16.49518899	8.229203306	15.35267741	9.706820281	11.30261972	7.846505082	0	0	6.904210432
Myriangium duriaei	6.271248203	12.00180389	13.698078	4.887733173	10.0010298	7.499295973	0	8.74868575	5.284319342	6.259586788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.132783608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.537292788	0	0	0	8.152492709	6.452680076	0	0	0	0	0	0	0	0	0	0	0	5.57980968	9.449592407	0	0	0	0	0	0	0	0	0	5.242031199	7.252657281	4.868093263	0	5.42087202	5.835580786	0	0	0	6.477561707	7.30879106	8.590038984	10.28142256	6.662662127	7.652072597	7.8135871	5.946943434	10.43663633	8.909164558	8.493368978	6.365136002	9.223508028	9.603142996	8.324571237	4.92638328	6.691068719	6.620572446	4.991917956	9.392337539	5.790605188	8.506442845	7.981578577	6.636966597	7.220247963	5.554568357	8.597657514	7.050878416	0	0	5.438983416	5.37237056	6.816921386
Chlamydomonas eustigma	0	0	0	0	0	0	0	0	0	0	0	0	0	0.650503461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.390554885	1.877369837	3.470317072	1.980230474	0	1.957450594	0	0	0	1.769660839	0	0	0	0	1.219655029	0	0.642448685	0	0	0.712307693	0.741867912	0	0	0	0	0.626535414	1.117222974	0	0	0	0	2.354018423	0	0	0	0	0.832273349	2.063987178	0.781177599	0.660003248	1.240539501	3.225179778	2.537945862	0	0	0.964999218	1.633182077	1.141636015	0	1.510503676	2.798558084	4.317667066	2.917715694	1.96054452	2.207020729	4.039724221	1.043025288	2.983177822	1.862437909	0	1.70236043	2.062179278	2.004771482	0.384767933	2.950906321	2.85889983	3.470436189	0.462294268	2.566157177	2.326443703	1.828103445	1.172198433	0.402135476	1.257625106	0	1.006839379	0	0	0	0.558110339	0.468871629
Mortierella sp. NVP85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.726698566	0	0	6.089513146	0	0	0	0	7.114426422	0	0	0	0	5.225905851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.005149754	0	5.256250655	0	7.462184749	0	5.695729907	4.664243682	4.436355438	0	0	0	0	0	0	0	0	0	5.567350749	0	0	5.66870681	0	0	0	0	0	0	6.210161917	0	8.94517704	0	6.486839439	7.471548145	7.297807655	4.667434324	4.538940765	3.974683845	15.53985812	7.463035061	7.223657835	17.49623541	13.42283679	13.40888309	8.571646828	6.273640036	9.04698723	8.212997694	13.45137609	9.215622831	4.900068237	17.24857187	11.99621835	7.334753032	9.604622831	15.95007387	12.89190969	15.31065683	11.94118964	12.1471723	7.777385167	14.18506857	0	6.494400418	7.9670507	0	7.531001236	0	10.86982802	6.916574176	6.261436289	9.901204546
Scenedesmus sp. NREL 46B-D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.526883405	0	0	0	0	0	0	0	0	0	2.950110497	1.976340906	2.717932132	3.386702277	0	0	0	2.507229282	6.730466913	1.360137977	0	0	0	1.934287778	1.144575684	0.962131091	2.936139331	0	0	2.662097175	1.405390517	1.952374081	0.960111279	1.538411716	0	4.488419173	0.905225245	6.039610788	7.9792201	7.235237347	0.871402252	1.193827386	1.512368164	4.599081927	0	0	0	0	0	0	0.922811359	0	0	0	2.025446023	3.174060466	0	0	0	1.195047092	7.429269826	0	1.167226736	0	2.967849921	3.045498167	0	0	0	0	0	0	1.436579557	0	0	0	1.899606046	2.666154481	0	0	3.180101999	0	2.549128345	0	2.08804568	0.829883422	2.469209319	0.844775248	1.082376693	0	0.833319897	1.270385737	1.230515457	0	0	0	1.386599248	1.127485126	0	1.104509234	0	3.161842699	0.800209569	1.320684582	0	0.86150518	0	1.314057408	0	0	0	0	0	0	0	0
Amphora coffeiformis	0	0	0	0	0	0	0	0	0.208798841	0.773915515	0.421568825	0	0.127948258	7.928750236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170677602	0	0.171489269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117063925	0	0.10874216	0	0	0	0	0	0	0	0.248021737	0	0.277620254	0	0.531803217	0.179558005	0	0	0	0.271031591	0	0.157626504	0	0	0	0	0.371671964	0.314163091	0.42101013	0	0	0	0	0	0	0	0	0.297040692	0.433705219	0	0.502715309	0.166108833	0.328561027	0.216673844	0.189121634	0.387035711	0.145673816	0.38272724	0.335021017	0.292188743	0.323244977	0.664772173	0.343751469	0.353486552	0.120645611	0.282700632	0.498288506	0.485264817	0	0.338853485	0.481814992	0.278948794	0.334176346	0.269359833	0.278172559	0.141606345	0.429909712	0.377752799	0.172237201	0.308682772	0.289738909	0	0	0.140562853	0	0.383217084	0.32505312	0.598482074	0.224082916	0.397398639
Raphidocelis subcapitata	0	0	0	0	0	0	0.777925917	0	0	0	0	0	0	0	0	0	0.698539508	0.956706738	0	0	0	1.232869443	0	0.494492677	0	0	0.419430325	0	0.323302124	0	0	0	0	0	0.327222024	0.370845711	0.321128655	0.322526035	0	0	0	0.521229969	0	0	0	0	0	0	0.440884401	0	0	0	0	0	0	0	0	0	0.685673288	0	0	0	0	0	0	0	0	0	0	0	0.677129193	0.596167839	0.409904999	0	0.466012854	0.524279099	0	0	0.320394846	0	0	4.597442608	2.675715283	3.535352558	3.520667375	2.661142684	0	3.080473782	3.708564179	3.687587272	0	0	4.04129151	3.883829339	0	2.372169379	0	2.215531694	0	0.479518568	0.388305405	0	0	0	0.345868702	0.438753307	0.298556536	0	3.617906422	0.535872569	0.560085239	0.371387944	0.709075254	0.964174974	0.44236829	0	0.47743004	0.542131309	0.51701901	0.900672729	1.115546843	0.755748836	0.648094265	0.316226979	0	2.736756718	0.467699393	2.584790013	0.644386226	0
Globisporangium ultimum	19.16790032	16.73536486	13.93647734	14.1510117	15.930167	9.649356305	16.05418039	12.38174763	0	0	0	0	0	0	14.88597373	14.97828861	21.21191315	15.29320095	12.90829128	24.8380171	14.79177102	28.54555701	19.93580591	34.61971763	12.9976959	10.97362428	16.75346647	18.03068368	16.03094576	10.07684032	9.954781226	15.20849017	11.17659653	11.3610976	9.249115756	7.586572816	16.45110375	12.99905305	9.865509877	13.375353	13.36710244	15.75946071	13.57128303	12.60050074	15.2292724	12.09911415	10.35181854	9.573707721	16.05551864	0	0	6.999280003	0	0	0	0	0	0	7.091639951	0	16.28081225	0	0	0	8.785885071	0	5.019446427	0	0	0	7.866454666	0	5.60005022	0	0	0	11.76489993	13.12783103	10.20248052	0	0	19.64627996	16.00976962	14.19611302	16.46824051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
